Team Number,Zip,League
11316,50125 IA,Armstrong
12783,50211 IA,Armstrong
14568,50211 IA,Armstrong
11391,50315 IA,Armstrong
12233,50315 IA,Armstrong
7618,50265 IA,Armstrong
3609,50313 IA,Armstrong
7823,50257 IA,Armstrong
10181,50035 IA,Armstrong
6103,50131 IA,Armstrong
9974,50131 IA,Armstrong
14172,50131 IA,Armstrong
14560,50131 IA,Armstrong
15125,50131 IA,Armstrong
3738,50023 IA,Armstrong
5126,50023 IA,Armstrong
13497,50263 IA,Armstrong
5340,50263 IA,Armstrong
6340,50263 IA,Armstrong
6666,50263 IA,Armstrong
9356,50263 IA,Armstrong
10198,50263 IA,Armstrong
10435,50263 IA,Armstrong
7236,50219 IA,Clark
9052,50219 IA,Clark
13085,50219 IA,Clark
6147,50208 IA,Clark
4283,50161 IA,Clark
8611,50174 IA,Clark
4443,52577 IA,Clark
7491,50201 IA,Clark
10012,50201 IA,Clark
15114,50250 IA,Clark
12999,50801 IA,Clark
8887,50158 IA,Clark
4173,52501 IA,Clark
15523,50845 IA,Clark
10599,50632 IA,Clark
12168,52208 IA,Clark
3634,50841 IA,Clark
6458,52361 IA,Hammel
10069,50638 IA,Hammel
13186,50638 IA,Hammel
14375,50638 IA,Hammel
13416,50543 IA,Hammel
15071,50543 IA,Hammel
10038,52556 IA,Hammel
10602,52556 IA,Hammel
8661,51443 IA,Hammel
9575,52346 IA,Hammel
3788,52346 IA,Hammel
5153,52346 IA,Hammel
9566,50864 IA,Hammel
15525,50643 IA,Hammel
7332,50501 IA,Hammel
10185,50501 IA,Hammel
13532,52353 IA,Hammel
10656,50665 IA,Lovell
7500,50651 IA,Lovell
8749,50651 IA,Lovell
8649,51455 IA,Lovell
10249,51455 IA,Lovell
10256,51455 IA,Lovell
10257,51455 IA,Lovell
5094,50701 IA,Lovell
8650,50701 IA,Lovell
8922,50701 IA,Lovell
11418,52340 IA,Lovell
13208,52340 IA,Lovell
6420,50613 IA,Lovell
7880,50613 IA,Lovell
9203,50613 IA,Lovell
10646,50613 IA,Lovell
13460,50613 IA,Lovell
15201,50613 IA,Lovell
4177,52327 IA,Galileo
8953,50634 IA,Galileo
9988,52405 IA,Galileo
15050,52317 IA,Galileo
8695,52404 IA,Galileo
6113,52404 IA,Galileo
9973,50563 IA,Galileo
14452,50563 IA,Galileo
8696,52246 IA,Galileo
5154,52641 IA,Galileo
6189,52345 IA,Galileo
